"","id","NEAR_DIST"
"1",69572,433.06
"2",8776,166.7
"3",34310,185.38
"4",67743,26.63
"5",19728,29.18
"6",9944,29852.19
"7",19816,943.62
"8",54551,3965.53
"9",53934,5781.93
"10",46144,4863.51
"11",49056,3850.56
"12",50409,671.66
"13",36957,2878.32
"14",50495,1747.52
"15",53752,3929.69
"16",61848,12.17
"17",48451,152.61
"18",58155,1258.01
"19",34169,969.56
"20",18274,13337.58
"21",48375,10244.72
"22",6091,3337890.34
"23",58500,3523.06
"24",37862,180.75
"25",51058,275.42
"26",22308,4793.04
"27",55012,3415.47
"28",20145,662.79
"29",19685,19931.31
"30",69124,751.82
"31",46804,16467.71
"32",6696,174.91
"33",57238,11557.43
"34",12402,7608.19
"35",41583,53636.37
"36",57355,966.68
"37",67359,2775.86
"38",60048,29719.24
"39",16583,372.46
"40",25,916.32
"41",70238,203.38
"42",12796,11777.41
"43",52019,39.15
"44",19282,4304.65
"45",1843,11662.06
"46",12958,3335.24
"47",45111,304.24
"48",13620,588.54
"49",18864,39.4
"50",25182,8772.89
"51",3228,1186.24
"52",19308,30356.93
"53",10745,17392.27
"54",32376,3337890.34
"55",9417,13176.45
"56",68724,683.28
"57",74197,3083.06
"58",22961,2985.03
"59",24593,1260.05
"60",31714,1834.04
"61",29952,284.16
"62",40393,14775.47
"63",2127,244.43
"64",8265,4258.47
"65",67433,1806.56
"66",51072,17005.98
"67",34255,233.04
"68",22108,2660.82
"69",4720,3386.95
"70",54801,109.94
"71",21990,452.63
"72",17386,679.56
"73",41609,14286.49
"74",35715,927.34
"75",53970,796.45
"76",62971,703.18
"77",63542,74.52
"78",15622,4539.92
"79",12903,1993.89
"80",52561,3388.15
"81",19415,3325.97
"82",65531,18899.7
"83",3675,87.78
"84",34383,2186.35
"85",30423,321.45
"86",68717,8494.54
"87",3688,6182.12
"88",30537,13.58
"89",27312,139.13
"90",22143,127.15
"91",43237,619.23
"92",62591,625.62
"93",39920,3087.72
"94",70892,1387.69
"95",48593,866.99
"96",26419,6942.69
"97",68554,1402.58
"98",29083,349.73
"99",33379,711.54
"100",43206,5479.98
"101",41743,958.01
"102",17970,4728.5
"103",25693,1581.64
"104",39364,11662.49
"105",57580,8076.12
"106",23000,295.23
"107",59902,1733.02
"108",60371,786.56
"109",74246,8852.95
"110",7116,7587.5
"111",64063,4496.87
"112",59983,2579.51
"113",10784,3659.7
"114",49503,25645.04
"115",54248,8359.03
"116",24409,9662.93
"117",21068,8542.4
"118",62341,6509
"119",10837,186.44
"120",35458,20512.21
"121",36038,1999.01
"122",64447,1273.96
"123",22897,832.45
"124",2915,461.17
"125",14016,19332.79
"126",69525,233.86
"127",73061,7284.98
"128",42031,2964.26
"129",33235,8120.28
"130",41839,638.43
"131",62002,170.45
"132",6106,13155.79
"133",25915,13013.53
"134",20673,6009.34
"135",59475,5222.03
"136",24012,3684.86
"137",69107,15325.92
"138",64062,9329.7
"139",44002,700.6
"140",37471,737.23
"141",49585,186.96
"142",60852,68.65
"143",64130,9010.05
"144",17687,370.74
"145",38876,11229.37
"146",28669,71.87
"147",73769,663.1
"148",66521,91.21
"149",53167,275.43
"150",24232,3887.78
"151",65788,1186.39
"152",72981,358.93
"153",60983,14950.65
"154",37768,3065.79
"155",64880,1709.15
"156",32871,190.31
"157",45564,764.82
"158",23519,531.35
"159",50173,3077.94
"160",66843,178.93
"161",13815,644.76
"162",36591,36521.51
"163",71845,293.55
"164",42180,1391.23
